구분,고급휘발유,보통휘발유,자동차용경유
2024년10월13일,1860.94,1589.69,1419.74
2024년10월14일,1864.68,1591.36,1421.39
2024년10월15일,1865.66,1592.27,1422.05
2024년10월16일,1865.49,1592.29,1422.16
2024년10월17일,1866.27,1592.35,1422.04
2024년10월18일,1866.16,1592.28,1421.97
2024년10월19일,1863.00,1591.96,1421.58
2024년10월20일,1862.82,1592.00,1421.48
2024년10월21일,1866.97,1592.82,1422.31
2024년10월22일,1866.82,1592.90,1422.06
2024년10월23일,1867.22,1593.43,1422.51
2024년10월24일,1866.14,1594.15,1423.19
2024년10월25일,1866.81,1595.75,1424.77
2024년10월26일,1865.95,1597.45,1426.19
2024년10월27일,1866.72,1598.18,1426.59
2024년10월28일,1869.93,1599.57,1428.15
2024년10월29일,1870.72,1600.38,1428.85
2024년10월30일,1871.73,1601.02,1429.67
2024년10월31일,1872.30,1601.58,1430.27
2024년11월01일,1877.66,1605.74,1434.33
2024년11월02일,1875.79,1607.55,1436.05
2024년11월03일,1876.02,1608.57,1436.75
2024년11월04일,1880.53,1610.41,1438.87
2024년11월05일,1880.89,1612.75,1441.11
2024년11월06일,1883.85,1615.96,1444.48
2024년11월07일,1884.81,1618.77,1447.57
2024년11월08일,1887.30,1621.59,1450.91
2024년11월09일,1885.58,1624.42,1454.17
2024년11월10일,1886.11,1625.43,1455.00
2024년11월11일,1890.00,1627.94,1457.93
2024년11월12일,1890.85,1629.52,1459.68
2024년11월13일,1891.63,1630.95,1461.83
2024년11월14일,1891.49,1631.71,1463.17
2024년11월15일,1891.93,1632.40,1464.58
2024년11월16일,1889.21,1632.44,1464.99
2024년11월17일,1889.04,1632.54,1465.01
2024년11월18일,1892.34,1633.54,1466.88
2024년11월19일,1892.76,1633.97,1467.64
2024년11월20일,1892.77,1634.50,1468.78
2024년11월21일,1892.42,1635.03,1470.07
2024년11월22일,1892.80,1635.78,1471.51
2024년11월23일,1889.76,1636.06,1472.42
2024년11월24일,1889.91,1636.51,1472.80
2024년11월25일,1893.60,1637.70,1474.66
2024년11월26일,1893.87,1638.57,1476.03
2024년11월27일,1894.14,1639.05,1477.29
2024년11월28일,1894.50,1639.50,1478.28
2024년11월29일,1895.54,1640.00,1479.13
2024년11월30일,1893.01,1640.07,1479.48
2024년12월01일,1893.21,1640.39,1479.82
2024년12월02일,1896.49,1641.41,1481.47
2024년12월03일,1896.76,1641.84,1482.06
2024년12월04일,1897.33,1642.55,1483.46
2024년12월05일,1897.46,1643.23,1484.70
2024년12월06일,1898.00,1644.11,1486.16
2024년12월07일,1896.38,1644.43,1486.59
2024년12월08일,1896.41,1644.51,1486.77
2024년12월09일,1898.65,1645.36,1488.08
2024년12월10일,1899.59,1646.21,1489.16
2024년12월11일,1899.65,1646.87,1490.24
2024년12월12일,1899.94,1647.92,1491.56
2024년12월13일,1900.21,1648.96,1492.81
2024년12월14일,1898.11,1649.50,1493.59
2024년12월15일,1898.47,1650.18,1494.04
2024년12월16일,1901.46,1651.81,1496.06
2024년12월17일,1902.29,1653.23,1497.60
2024년12월18일,1902.67,1654.68,1499.25
2024년12월19일,1903.26,1656.12,1500.66
2024년12월20일,1904.62,1657.79,1502.57
2024년12월21일,1902.21,1658.73,1503.33
2024년12월22일,1902.58,1659.43,1503.94
2024년12월23일,1905.93,1660.93,1505.93
2024년12월24일,1907.32,1662.50,1507.48
2024년12월25일,1907.82,1663.56,1508.73
2024년12월26일,1908.50,1664.74,1510.10
2024년12월27일,1909.80,1666.46,1511.86
2024년12월28일,1907.68,1667.32,1512.54
2024년12월29일,1908.40,1667.92,1513.19
2024년12월30일,1911.92,1669.37,1514.67
2024년12월31일,1913.47,1670.65,1516.02
2025년01월01일,1914.55,1672.68,1517.73
2025년01월02일,1915.98,1674.44,1519.77
2025년01월03일,1917.72,1676.64,1522.32
2025년01월04일,1918.11,1679.07,1525.02
2025년01월05일,1919.16,1680.56,1526.36
2025년01월06일,1923.44,1683.43,1529.71
2025년01월07일,1925.37,1686.97,1533.66
2025년01월08일,1927.23,1689.66,1537.02
2025년01월09일,1931.05,1692.80,1540.59
2025년01월10일,1932.41,1695.07,1543.41
2025년01월11일,1931.59,1697.11,1546.23
2025년01월12일,1932.69,1698.93,1547.82
2025년01월13일,1937.93,1702.29,1551.83
2025년01월14일,1941.04,1705.76,1556.39
2025년01월15일,1944.00,1709.76,1561.72
2025년01월16일,1946.18,1713.63,1566.93
2025년01월17일,1949.66,1717.37,1572.31
2025년01월18일,1948.80,1720.01,1575.94
2025년01월19일,1949.65,1721.33,1577.78
2025년01월20일,1954.07,1724.10,1581.79
2025년01월21일,1956.77,1726.61,1585.78
2025년01월22일,1958.03,1728.88,1589.54
2025년01월23일,1959.02,1730.09,1591.84
2025년01월24일,1959.86,1731.15,1593.77
2025년01월25일,1958.12,1731.96,1595.10
2025년01월26일,1958.58,1732.12,1595.55
